STATE,YEAR,AVG_MATH_8_SCORE,AVG_READING_8_SCORE,,,
ALABAMA,2007,266.0001099,265.6419817,,,
ALASKA,2007,282.5571541,266.9176171,,,
ARIZONA,2007,275.5484264,254.7997475,,,
ARKANSAS,2007,273.8998622,265.8126157,,,
CALIFORNIA,2007,270.381784,268.1594281,,,
COLORADO,2007,286.1927562,251.9368814,,,
CONNECTICUT,2007,282.4727901,258.7984559,,,
DELAWARE,2007,282.9920827,254.8287924,,,
DISTRICT_OF_COLUMBIA,2007,248.1987424,257.9609958,,,
FLORIDA,2007,277.3834973,251.2877915,,,
GEORGIA,2007,274.7786646,266.4078816,,,
HAWAII,2007,268.7720134,267.0556914,,,
IDAHO,2007,283.5075958,264.5448307,,,
ILLINOIS,2007,280.497096,240.7936248,,,
INDIANA,2007,285.0072109,272.6925529,,,
IOWA,2007,285.2269031,259.7907207,,,
KANSAS,2007,290.0325998,258.7049928,,,
KENTUCKY,2007,278.7047499,251.3308107,,,
LOUISIANA,2007,272.3862996,264.8863424,,,
MAINE,2007,286.4722531,262.8266171,,,
MARYLAND,2007,285.7342652,264.0959609,,,
MASSACHUSETTS,2007,297.9233445,267.4507196,,,
MICHIGAN,2007,276.8305171,267.4137909,,,
MINNESOTA,2007,291.8511165,261.965951,,,
MISSISSIPPI,2007,264.8909187,253.2382943,,,
MISSOURI,2007,280.6195383,269.9201538,,,
MONTANA,2007,287.075529,265.2401215,,,
NEBRASKA,2007,283.6505986,273.2840488,,,
NEVADA,2007,270.8040244,260.3177061,,,
NEW_HAMPSHIRE,2007,287.557061,268.1974428,,,
NEW_JERSEY,2007,288.5834514,250.0635701,,,
NEW_MEXICO,2007,267.5380787,263.442316,,,
NEW_YORK,2007,280.1411772,270.93785,,,
NORTH_CAROLINA,2007,283.8806688,267.0308506,,,
NORTH_DAKOTA,2007,291.5616119,252.3484739,,,
OHIO,2007,284.8516395,269.7345886,,,
OKLAHOMA,2007,274.5349894,270.1415503,,,
OREGON,2007,283.8262772,250.7531745,,,
PENNSYLVANIA,2007,286.1668633,263.5457165,,,
RHODE_ISLAND,2007,275.3869905,259.1367031,,,
SOUTH_CAROLINA,2007,281.5036015,268.0176705,,,
SOUTH_DAKOTA,2007,288.4639253,267.9789794,,,
TENNESSEE,2007,273.9787866,259.5472252,,,
TEXAS,2007,285.8707084,265.7102102,,,
UTAH,2007,281.0874737,267.6656302,,,
VERMONT,2007,291.0107738,258.3211177,,,
VIRGINIA,2007,287.625905,257.4212028,,,
WASHINGTON,2007,284.8628043,269.5967634,,,
WEST_VIRGINIA,2007,270.0840936,259.1619549,,,
WISCONSIN,2007,285.6179425,260.8129192,,,
WYOMING,2007,286.9877715,262.2280247,,,
ALABAMA,2008,,,,,
ALASKA,2008,,,,,
ARIZONA,2008,,,,,
ARKANSAS,2008,,,,,
CALIFORNIA,2008,,,,,
COLORADO,2008,,,,,
CONNECTICUT,2008,,,,,
DELAWARE,2008,,,,,
DISTRICT_OF_COLUMBIA,2008,,,,,
DISTRICT_OF_COLUMBIA,2008,,,,,
FLORIDA,2008,,,,,
GEORGIA,2008,,,,,
HAWAII,2008,,,,,
IDAHO,2008,,,,,
ILLINOIS,2008,,,,,
INDIANA,2008,,,,,
IOWA,2008,,,,,
KANSAS,2008,,,,,
KENTUCKY,2008,,,,,
LOUISIANA,2008,,,,,
MAINE,2008,,,,,
MARYLAND,2008,,,,,
MASSACHUSETTS,2008,,,,,
MICHIGAN,2008,,,,,
MINNESOTA,2008,,,,,
MISSISSIPPI,2008,,,,,
MISSOURI,2008,,,,,
MONTANA,2008,,,,,
NEBRASKA,2008,,,,,
NEVADA,2008,,,,,
NEW_HAMPSHIRE,2008,,,,,
NEW_JERSEY,2008,,,,,
NEW_MEXICO,2008,,,,,
NEW_YORK,2008,,,,,
NORTH_CAROLINA,2008,,,,,
NORTH_DAKOTA,2008,,,,,
OHIO,2008,,,,,
OKLAHOMA,2008,,,,,
OREGON,2008,,,,,
PENNSYLVANIA,2008,,,,,
RHODE_ISLAND,2008,,,,,
SOUTH_CAROLINA,2008,,,,,
SOUTH_DAKOTA,2008,,,,,
TENNESSEE,2008,,,,,
TEXAS,2008,,,,,
UTAH,2008,,,,,
VERMONT,2008,,,,,
VIRGINIA,2008,,,,,
VIRGINIA,2008,,,,,
VIRGINIA,2008,,,,,
WASHINGTON,2008,,,,,
WEST_VIRGINIA,2008,,,,,
WISCONSIN,2008,,,,,
WYOMING,2008,,,,,
ALABAMA,2009,268.5241203,267.5774737,,,
ALASKA,2009,283.0476628,256.1068616,,,
ARIZONA,2009,277.332282,267.1670297,,,
ARKANSAS,2009,275.9995,269.5687297,,,
CALIFORNIA,2009,270.4485881,254.8952466,,,
COLORADO,2009,287.3729075,259.4494265,,,
CONNECTICUT,2009,288.6085135,257.5952755,,,
DELAWARE,2009,283.829473,258.0485802,,,
DISTRICT_OF_COLUMBIA,2009,253.5951869,252.6313808,,,
DISTRICT_OF_COLUMBIA,2009,253.5951869,252.6313808,,,
FLORIDA,2009,279.3352641,265.5131199,,,
GEORGIA,2009,277.5611997,271.8101332,,,
HAWAII,2009,273.7586067,264.9989661,,,
IDAHO,2009,287.3052151,242.4904243,,,
ILLINOIS,2009,282.431417,272.4593163,,,
INDIANA,2009,286.8099779,264.3620409,,,
IOWA,2009,284.1701786,260.2445245,,,
KANSAS,2009,288.596403,254.7389799,,,
KENTUCKY,2009,279.2842161,264.837185,,,
LOUISIANA,2009,272.3799067,264.5140023,,,
MAINE,2009,286.3614259,265.6912406,,,
MARYLAND,2009,288.3415653,264.888126,,,
MASSACHUSETTS,2009,298.8543466,266.7995193,,,
MICHIGAN,2009,278.2681682,266.8540198,,,
MINNESOTA,2009,294.4433201,253.329004,,,
MISSISSIPPI,2009,265.0019582,267.7064996,,,
MISSOURI,2009,285.8080019,267.2980565,,,
MONTANA,2009,291.5429429,273.5892897,,,
NEBRASKA,2009,284.2590935,261.89815,,,
NEVADA,2009,274.1485417,269.7398201,,,
NEW_HAMPSHIRE,2009,292.3218172,251.3056546,,,
NEW_JERSEY,2009,292.6572271,266.8764602,,,
NEW_MEXICO,2009,269.7042538,270.393926,,,
NEW_YORK,2009,282.5769154,267.0678566,,,
NORTH_CAROLINA,2009,284.3326353,253.8409544,,,
NORTH_DAKOTA,2009,292.8424885,270.7481588,,,
OHIO,2009,285.5830138,272.8026339,,,
OKLAHOMA,2009,275.7119568,254.1291737,,,
OREGON,2009,285.0368144,264.2880575,,,
PENNSYLVANIA,2009,288.3041689,259.5284866,,,
RHODE_ISLAND,2009,277.9237194,269.2399849,,,
SOUTH_CAROLINA,2009,280.3808554,268.6782355,,,
SOUTH_DAKOTA,2009,290.6191277,259.495771,,,
TENNESSEE,2009,274.7618211,265.0892467,,,
TEXAS,2009,286.6850767,270.7005367,,,
UTAH,2009,284.0682519,259.8855897,,,
VERMONT,2009,292.8660964,257.2741846,,,
VIRGINIA,2009,286.069755,270.0609902,,,
WASHINGTON,2009,288.7223756,260.9466762,,,
WEST_VIRGINIA,2009,270.4157659,260.368795,,,
WISCONSIN,2009,288.1407262,265.5915771,,,
